Product_ID,Product_Name,Category,Brand,Supplier_ID,Cost_Price_KES,Selling_Price_KES,Reorder_Level
PROD101,Oraimo Bluetooth Speaker,Electronics,Oraimo,SUP020,2202.69,2880,20
PROD102,Paperline A4 Printing Paper,Stationery,Paperline,SUP008,345.58,495,25
PROD103,Savannah Wear Plain T-Shirt,Clothing,Savannah Wear,SUP005,412.53,565,15
PROD104,Pannar Maize Seed 2KG,Agricultural Supplies,Pannar,SUP009,628.15,865,20
PROD105,Daawat Rice 2KG,Food,Daawat,SUP024,218.14,335,40
PROD106,Ketepa Tea 500G,Beverages,Ketepa,SUP013,221.41,300,30
PROD107,Hanan Toilet Tissue 10 Pack,Household,Hanan,SUP034,264.59,480,40
PROD108,Aquafresh Toothpaste 150ML,Personal Care,Aquafresh,SUP015,102.93,165,30
PROD109,Oraimo Power Bank 10000mAh,Electronics,Oraimo,SUP009,1624.21,2240,30
PROD110,Kasuku Notebook A5,Stationery,Kasuku,SUP030,40.18,70,50
PROD111,Savannah Wear Polo Shirt,Clothing,Savannah Wear,SUP014,367.51,605,15
PROD112,Unga Farm Care Animal Feed 10KG,Agricultural Supplies,Unga Farm Care,SUP003,622.22,955,20
PROD113,Fresh Fri Cooking Oil 3L,Food,Fresh Fri,SUP020,398.66,710,10
PROD114,Del Monte Juice 1L,Beverages,Del Monte,SUP023,159.11,210,25
PROD115,Sunlight Bar Soap 800G,Household,Sunlight,SUP007,115.18,170,50
PROD116,Always Sanitary Pads 10 Pack,Personal Care,Always,SUP030,172.55,230,20
PROD117,Tecno Wireless Earbuds,Electronics,Tecno,SUP017,1401.39,2450,25
PROD118,Bic Ball Pens 10 Pack,Stationery,Bic,SUP019,202.06,285,50
PROD119,Urban KE Hoodie,Clothing,Urban KE,SUP034,1598.73,2545,10
PROD120,Generic Gumboots,Agricultural Supplies,Generic,SUP032,693.44,1015,75
